,man-ar,overdtryggt,verdtryggt
251,2021-08-01,3.45,1.90
252,2021-09-01,3.45,1.90
253,2021-10-01,3.65,1.90
254,2021-11-01,3.65,1.90
255,2021-12-01,3.80,1.90
257,2022-01-01,3.95,1.50
258,2022-02-01,4.15,1.50
259,2022-03-01,4.15,1.50
260,2022-04-01,4.15,1.49
261,2022-05-01,4.65,1.49
