SEÐLABANKI ÍSLANDS,,,,,,,,,,,,,,
Upplýsingatækni og gagnasöfnun,,,,,HAGTÖLUR SEÐLABANKANS,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Bankavextir og dráttarvextir (%),,,,,,,,,
,,,,,, í lok hvers mánaðar,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Innláns-vextir 1,,Óverðtryggð skuldabréfalán 1,,,Verðtryggð skuldabréfalán 1,,,Vextir birtir af SÍ skv. lögum nr. 38/2001,,,,
,,Almennir spari- reikningar 2,,Lægstu vextir,Hæstu vextir,,Lægstu vextir,Hæstu vextir,,Dráttarvextir pen.krafna í krónum 3,Almennir vextir óverðtryggðra lána 4,Almennir vextir verð-tryggðra lána 4,Vextir af skaðabóta-kröfum 5,
,,,,,,,,,,,,,,
,Mars,4.50,,16.20,22.40,,4.95,12.70,,25.0,16.00,4.95,10.70,
,Apríl,4.50,,16.20,22.40,,4.95,13.00,,25.0,16.00,4.95,10.70,
,Maí,4.50,,16.20,22.40,,4.95,13.50,,25.0,16.00,4.95,10.70,
,Júní,4.50,,16.20,22.40,,4.95,13.50,,25.0,16.00,4.95,10.70,
,Júlí,4.50,,16.20,22.40,,5.00,13.60,,25.0,16.00,4.95,10.70,
,Ágúst,4.50,,16.20,22.40,,5.40,13.90,,25.0,16.00,5.00,10.70,
,September,4.50,,16.20,22.40,,5.40,13.90,,25.0,16.00,5.40,10.70,
,Október,4.50,,16.20,22.40,,5.75,13.90,,25.0,16.00,5.40,10.70,
,Nóvember,4.80,,16.65,22.85,,6.30,14.45,,25.0,16.00,5.75,10.70,
,Desember,4.80,,16.65,22.85,,6.30,14.45,,25.0,16.50,6.30,11.00,
,,,,,,,,,,,,,,
2008,Janúar,4.80,,16.65,22.85,,6.30,14.45,,25.0,16.50,6.30,11.00,
,Febrúar,4.80,,16.65,22.85,,6.30,14.45,,25.0,16.50,6.30,11.00,
,Mars,4.80,,16.65,22.85,,6.30,14.45,,25.0,16.50,6.30,11.00,
,Apríl,6.00,,18.40,24.65,,6.30,15.65,,25.0,16.50,6.30,11.00,
,Maí,6.00,,18.40,24.65,,6.30,15.65,,25.0,18.50,6.30,12.30,
