date,kaupverd,fasteignamat,byggar,einflm,lod_flm,fullbuid,postnr_101.0,postnr_102.0,postnr_103.0,postnr_104.0,postnr_105.0,postnr_107.0,postnr_108.0,postnr_109.0,postnr_110.0,postnr_111.0,postnr_112.0,postnr_113.0,postnr_116.0,postnr_200.0,postnr_201.0,postnr_203.0,postnr_206.0,postnr_220.0,postnr_221.0,postnr_270.0,postnr_271.0,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,verd_m2,fjöldi_kaupsamninga,auglyst_fjolbyli,solutimi,Verðtryggð lán,erlend_lan,Óverðtryggð lán,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%
2006-04-01,24700.0,19820.0,1988.0,112.3,1285.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,219.946571682992,598.4,2.05,6.21,87.42,7.19,4.07,12.5,4.3,1.2,1.0702054794520466
2006-05-01,16480.0,14469.0,1961.4,87.14,3860.2,1.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,188.26019172546498,617.0,2.05,6.21,87.31,7.36,4.01,13.0,4.6,-0.2,1.4824227022448122
2006-06-01,21091.75593220339,16509.12881355932,1974.264406779661,98.49593220338983,3491.331186440678,1.0,0.0847457627118644,0.0,0.006779661016949152,0.061016949152542375,0.10508474576271186,0.0576271186440678,0.04067796610169491,0.061016949152542375,0.0711864406779661,0.04745762711864407,0.0847457627118644,0.030508474576271188,0.0,0.08813559322033898,0.0576271186440678,0.03728813559322034,0.0,0.1016949152542373,0.04745762711864407,0.01694915254237288,0.0,0.14915254237288136,0.18305084745762712,0.01694915254237288,0.6508474576271186,218.4334634627268,472.74,2.05,6.21,87.2,7.53,3.95,14.0,4.6,0.6,1.001669449081799
2006-07-01,20611.40772532189,16359.206008583691,1975.274678111588,96.20300429184549,3657.8523605150212,1.0,0.12446351931330472,0.004291845493562232,0.008583690987124463,0.03862660944206009,0.09871244635193133,0.05150214592274678,0.04721030042918455,0.060085836909871244,0.02575107296137339,0.034334763948497854,0.10300429184549356,0.034334763948497854,0.0,0.0815450643776824,0.04721030042918455,0.07725321888412018,0.0,0.07296137339055794,0.0815450643776824,0.008583690987124463,0.0,0.15450643776824036,0.20600858369098712,0.008583690987124463,0.630901287553648,217.22466737054765,436.96,2.05,6.21,87.09,7.7,3.89,14.0,4.6,-1.7,0.4132231404958775
2006-08-01,20903.258196721312,16767.118852459018,1973.2622950819673,96.4672131147541,3343.3766393442625,1.0,0.09836065573770492,0.0,0.004098360655737705,0.045081967213114756,0.12704918032786885,0.10245901639344263,0.045081967213114756,0.040983606557377046,0.012295081967213115,0.06557377049180328,0.0860655737704918,0.01639344262295082,0.0,0.10245901639344263,0.045081967213114756,0.036885245901639344,0.0,0.0860655737704918,0.06147540983606557,0.02459016393442623,0.0,0.14754098360655737,0.18442622950819673,0.02459016393442623,0.6434426229508197,220.89026674241836,406.92,2.05,6.21,86.98,7.870000000000001,3.83,14.5,4.85,2.4,0.288065843621399
2006-09-01,20215.574074074073,15911.548148148147,1971.3185185185184,92.81222222222222,3524.4337037037035,1.0,0.11481481481481481,0.003703703703703704,0.003703703703703704,0.03333333333333333,0.15185185185185185,0.05185185185185185,0.07037037037037037,0.05925925925925926,0.05185185185185185,0.05185185185185185,0.10740740740740741,0.018518518518518517,0.0,0.05555555555555555,0.040740740740740744,0.04814814814814815,0.0,0.07037037037037037,0.05555555555555555,0.011111111111111112,0.0,0.1259259259259259,0.14444444444444443,0.011111111111111112,0.7185185185185186,222.43009138680316,354.73,2.06,7.19,86.87,8.040000000000001,3.77,15.0,4.85,0.7,0.6155108740254489
2006-10-01,20375.098039215685,16254.188235294117,1973.6352941176472,92.78705882352942,3769.1019607843136,1.0,0.11372549019607843,0.0,0.011764705882352941,0.027450980392156862,0.14901960784313725,0.054901960784313725,0.08627450980392157,0.050980392156862744,0.06274509803921569,0.0784313725490196,0.06666666666666667,0.03137254901960784,0.0,0.06274509803921569,0.047058823529411764,0.03137254901960784,0.0,0.050980392156862744,0.058823529411764705,0.01568627450980392,0.0,0.10980392156862745,0.1411764705882353,0.01568627450980392,0.7333333333333333,221.93191795057623,410.12,2.05,6.21,86.76,8.21,3.71,15.5,4.85,-2.2,0.1631321370310079
2006-11-01,20118.457943925234,15872.317757009347,1975.8380062305296,92.99688473520249,3421.583800623053,1.0,0.10903426791277258,0.0,0.012461059190031152,0.059190031152647975,0.11838006230529595,0.040498442367601244,0.059190031152647975,0.0529595015576324,0.04672897196261682,0.0529595015576324,0.059190031152647975,0.03115264797507788,0.0,0.07165109034267912,0.021806853582554516,0.06230529595015576,0.0,0.0778816199376947,0.09968847352024922,0.024922118380062305,0.0,0.17757009345794392,0.1557632398753894,0.024922118380062305,0.6417445482866043,220.0580045786867,535.38,1.92,4.53,86.65,8.38,3.65,15.5,4.85,0.8,-0.244299674267101
2006-12-01,20424.17048346056,16096.30534351145,1972.1246819338423,93.74020356234097,3501.9575063613233,1.0,0.12468193384223919,0.0,0.005089058524173028,0.04071246819338423,0.0737913486005089,0.061068702290076333,0.061068702290076333,0.05089058524173028,0.07124681933842239,0.061068702290076333,0.08396946564885496,0.030534351145038167,0.0,0.061068702290076333,0.061068702290076333,0.022900763358778626,0.0,0.09923664122137404,0.06361323155216285,0.027989821882951654,0.0,0.1628498727735369,0.1450381679389313,0.027989821882951654,0.6641221374045801,221.9571504140171,648.89,1.71,3.4,86.54,8.55,3.59,15.5,4.85,-0.7,0.0
2007-01-01,20576.160714285714,16415.800595238095,1974.157738095238,95.60238095238095,3996.903869047619,1.0,0.1130952380952381,0.002976190476190476,0.002976190476190476,0.05654761904761905,0.10119047619047619,0.044642857142857144,0.0744047619047619,0.0625,0.047619047619047616,0.07142857142857142,0.08333333333333333,0.023809523809523808,0.0,0.05654761904761905,0.05654761904761905,0.05654761904761905,0.0,0.05357142857142857,0.05952380952380952,0.03273809523809524,0.0,0.1130952380952381,0.16964285714285715,0.03273809523809524,0.6845238095238095,221.14078013577125,688.75,1.58,3.01,86.43,8.72,3.53,16.0,4.85,2.3,0.1224489795918382
