date,kaupverd,fasteignamat,byggar,einflm,lod_flm,fullbuid,postnr_101.0,postnr_102.0,postnr_103.0,postnr_104.0,postnr_105.0,postnr_107.0,postnr_108.0,postnr_109.0,postnr_110.0,postnr_111.0,postnr_112.0,postnr_113.0,postnr_116.0,postnr_161.0,postnr_162.0,postnr_200.0,postnr_201.0,postnr_203.0,postnr_206.0,postnr_220.0,postnr_221.0,postnr_270.0,postnr_271.0,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,verd_m2,fjöldi_kaupsamninga,auglyst_serbyli,solutimi,Verðtryggð lán,erlend_lan,Óverðtryggð lán,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%
2006-04-01,65000.0,43800.0,2003.0,290.7,632.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,223.59821121431028,598.4,0.48,6.21,87.42,7.19,4.07,12.5,4.3,1.2,1.0702054794520466
2006-06-01,37820.27027027027,28738.64864864865,1977.2432432432433,173.51891891891893,1695.4432432432434,1.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.08108108108108109,0.05405405405405406,0.0,0.1891891891891892,0.02702702702702703,0.02702702702702703,0.0,0.0,0.10810810810810811,0.08108108108108109,0.0,0.0,0.05405405405405406,0.08108108108108109,0.16216216216216217,0.0,0.13513513513513514,0.1891891891891892,0.16216216216216217,0.5135135135135135,222.6301158643957,472.74,0.48,6.21,87.2,7.53,3.95,14.0,4.6,0.6,1.001669449081799
2006-07-01,42292.1875,31139.1875,1973.34375,187.43125,1315.95,1.0,0.0625,0.0,0.0,0.03125,0.0,0.03125,0.09375,0.09375,0.0625,0.03125,0.25,0.03125,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.09375,0.03125,0.0625,0.0,0.125,0.125,0.0625,0.6875,231.06333927653134,436.96,0.48,6.21,87.09,7.7,3.89,14.0,4.6,-1.7,0.4132231404958775
2006-08-01,38737.93103448276,29353.275862068964,1966.0,176.651724137931,991.9827586206897,1.0,0.10344827586206896,0.06896551724137931,0.0,0.06896551724137931,0.034482758620689655,0.0,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931,0.06896551724137931,0.10344827586206896,0.0,0.13793103448275862,0.27586206896551724,0.10344827586206896,0.4827586206896552,226.01510500124377,406.92,0.48,6.21,86.98,7.870000000000001,3.83,14.5,4.85,2.4,0.288065843621399
2006-09-01,38086.36363636364,29278.036363636365,1972.3454545454545,173.2927272727273,1437.7963636363636,1.0,0.03636363636363636,0.01818181818181818,0.0,0.05454545454545454,0.01818181818181818,0.0,0.12727272727272726,0.09090909090909091,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.0,0.05454545454545454,0.0,0.0,0.10909090909090909,0.07272727272727272,0.0,0.0,0.10909090909090909,0.01818181818181818,0.18181818181818182,0.0,0.12727272727272726,0.18181818181818182,0.18181818181818182,0.509090909090909,224.42511526448115,354.73,0.49,7.19,86.87,8.040000000000001,3.77,15.0,4.85,0.7,0.6155108740254489
2006-10-01,39102.28571428572,30080.314285714285,1974.6571428571428,180.7657142857143,1825.0714285714287,1.0,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.0,0.14285714285714285,0.11428571428571428,0.02857142857142857,0.0,0.17142857142857143,0.02857142857142857,0.0,0.0,0.0,0.17142857142857143,0.11428571428571428,0.0,0.0,0.08571428571428572,0.0,0.08571428571428572,0.0,0.08571428571428572,0.2857142857142857,0.08571428571428572,0.5428571428571428,222.99330411454113,410.12,0.49,6.21,86.76,8.21,3.71,15.5,4.85,-2.2,0.1631321370310079
2006-11-01,41822.448979591834,31976.469387755104,1980.3877551020407,194.40612244897957,1491.7163265306124,1.0,0.0,0.04081632653061224,0.0,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.08163265306122448,0.02040816326530612,0.02040816326530612,0.08163265306122448,0.1836734693877551,0.02040816326530612,0.02040816326530612,0.0,0.0,0.08163265306122448,0.02040816326530612,0.02040816326530612,0.0,0.12244897959183673,0.10204081632653061,0.08163265306122448,0.0,0.22448979591836735,0.12244897959183673,0.08163265306122448,0.5714285714285714,217.72025847502442,535.38,0.5,4.53,86.65,8.38,3.65,15.5,4.85,0.8,-0.244299674267101
2006-12-01,41043.85964912281,31507.22807017544,1975.1929824561403,193.61228070175437,1527.2964912280702,1.0,0.05263157894736842,0.0,0.0,0.017543859649122806,0.05263157894736842,0.03508771929824561,0.07017543859649122,0.07017543859649122,0.08771929824561403,0.03508771929824561,0.14035087719298245,0.03508771929824561,0.017543859649122806,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.08771929824561403,0.017543859649122806,0.12280701754385964,0.0,0.10526315789473684,0.15789473684210525,0.12280701754385964,0.6140350877192983,216.13176373863038,648.89,0.49,3.4,86.54,8.55,3.59,15.5,4.85,-0.7,0.0
2007-01-01,38425.555555555555,30025.666666666668,1979.111111111111,182.92222222222222,1652.8933333333332,1.0,0.044444444444444446,0.0,0.0,0.044444444444444446,0.0,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.044444444444444446,0.08888888888888889,0.1111111111111111,0.044444444444444446,0.0,0.0,0.08888888888888889,0.022222222222222223,0.0,0.0,0.2,0.06666666666666667,0.1111111111111111,0.0,0.26666666666666666,0.1111111111111111,0.1111111111111111,0.5111111111111111,218.93989754473276,688.75,0.49,3.01,86.43,8.72,3.53,16.0,4.85,2.3,0.1224489795918382
2007-02-01,40587.22222222222,33665.0,1978.5555555555557,181.38333333333335,1402.0148148148148,1.0,0.037037037037037035,0.0,0.018518518518518517,0.018518518518518517,0.0,0.037037037037037035,0.1111111111111111,0.05555555555555555,0.09259259259259259,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.07407407407407407,0.05555555555555555,0.018518518518518517,0.0,0.09259259259259259,0.12962962962962962,0.14814814814814814,0.0,0.2222222222222222,0.14814814814814814,0.14814814814814814,0.48148148148148145,228.21672240410365,701.42,0.49,2.86,87.03,8.44,3.04,16.0,4.95,0.3,0.0
