utgdag,kaupverd,fasteignamat,einflm,lod_flm,fmverd,yfirverd,count
2006-04-01,65000.0,43800.0,290.7,632.8,223.59821121431028,0.4840182648401826,1
2006-05-01,52038.94230769231,35183.55769230769,236.06057692307695,1027.9333333333334,222.07511008943897,0.7214982965540645,0
2006-06-01,39077.88461538462,26567.115384615383,181.42115384615389,1423.0666666666668,220.55200896456765,0.9589783282679464,52
2006-07-01,39285.0,27294.38,180.032,1367.5120000000002,222.82269986419308,0.7206648617249397,50
2006-08-01,38243.58974358974,28050.0,180.93846153846155,935.6666666666666,217.53005217289376,0.4753487497950257,39
2006-09-01,40557.54716981132,29226.54716981132,182.13207547169816,1198.9943396226415,226.59842771859945,0.46936790619204,53
2006-10-01,41101.53846153846,30204.25,188.28846153846155,1829.5096153846155,223.60616736398404,0.4039414188632666,52
2006-11-01,43438.88888888889,30877.722222222223,199.55370370370366,1084.111111111111,218.09557845660672,0.5217828965437196,54
2006-12-01,40545.94594594595,30243.0,194.7108108108109,1805.194594594595,212.80621452499125,0.44690528136225843,74
2007-01-01,40662.121212121216,29622.727272727272,192.59393939393937,1523.160606060606,217.58913580581097,0.5069039185785421,66
2007-02-01,41906.444444444445,32197.291666666668,195.87916666666666,1355.4916666666666,218.53791727816704,0.4889824988587852,72
2007-03-01,43664.778846153844,35032.78846153846,207.95480769230784,1298.8144230769228,215.6347002562183,0.33842904633261317,104
2007-04-01,43309.3984962406,31706.315789473683,200.1533834586465,1240.3045112781954,222.1507637098551,0.6251110378344831,133
2007-05-01,42185.56701030928,31897.74226804124,187.1958762886598,1540.1989690721648,231.01506494171738,0.40916052283998744,97
2007-06-01,45170.58823529412,32014.537815126052,193.51008403361348,1512.798319327731,236.92372879209785,0.6211963642417324,119
2007-07-01,44826.469696969696,30523.954545454544,192.3583333333334,1422.7401515151516,239.02048070069324,0.8497983036219481,132
2007-08-01,46336.91791044776,32448.649253731342,194.194776119403,1206.0320895522389,244.38061962936112,0.5892784859908663,134
2007-09-01,45354.625,31389.183333333334,191.85500000000002,1309.3500000000006,240.79963835152958,0.661772729175864,120
2007-10-01,47396.19047619047,33483.6,205.2219047619048,1275.597142857143,239.8295492796912,0.4819131039878806,105
2007-11-01,46474.0,32025.603174603173,191.13809523809525,1460.93253968254,250.25674524693392,0.6124354623444995,126
2007-12-01,46288.94117647059,31359.882352941175,193.02941176470588,1389.76,251.69852563497759,0.6990336903175633,85
2008-01-01,48069.230769230766,32084.0,203.07499999999993,912.1711538461539,242.04451613767782,0.8209546921639623,52
2008-02-01,50885.606060606064,34705.15151515151,188.45757575757577,989.7121212121211,273.78220515904457,0.955402095218147,33
2008-03-01,45052.04081632653,35320.0,195.4673469387755,923.3755102040817,237.20617400863958,0.5366441251075101,49
2008-04-01,47567.5,34644.175,205.60250000000002,1506.6200000000001,240.32920650708365,0.6342793482568185,40
2008-05-01,44419.04761904762,30599.880952380954,176.07142857142856,2162.2166666666667,254.04174042977277,1.1862587683409398,42
2008-06-01,42500.0,33787.333333333336,163.44666666666666,1940.7733333333333,267.59235024435986,0.24921744451634384,15
2008-07-01,55779.41176470588,40535.882352941175,205.25882352941176,2034.5588235294117,271.59796287659435,0.3620995387377262,17
2008-08-01,45638.0,30362.4,185.07600000000002,1340.612,257.8152402351733,0.9951052649507601,25
2008-09-01,49707.142857142855,38050.95238095238,208.25714285714284,2576.8380952380953,244.47123151078617,0.4403111017088157,21
2008-10-01,39406.333333333336,31526.428571428572,158.36666666666665,856.3761904761906,267.5403471203952,0.2649475141495939,21
2008-11-01,38564.444444444445,30112.222222222223,180.94444444444446,799.8277777777778,231.57668311977557,0.38506594525450444,18
2008-12-01,37369.63636363636,29635.909090909092,189.14545454545458,891.8818181818183,201.97444213202178,0.6147456934927943,11
2009-01-01,43640.0,34359.2,170.36,3658.4,258.6305220251071,0.29070363570495666,5
2009-02-01,40162.5,38100.0,211.3,1872.375,186.97390283460075,0.02449995588373821,4
2009-03-01,44857.142857142855,36270.71428571428,191.85714285714286,618.8571428571429,228.07097093157986,0.18415149088281677,7
2009-04-01,52333.333333333336,46656.666666666664,233.5666666666667,725.6333333333333,220.61113881412564,0.10085335365649968,3
2009-05-01,63750.0,51457.5,268.475,743.0,221.5275198182474,0.15095652885799513,4
2009-06-01,49833.333333333336,37450.0,232.34444444444443,911.6555555555556,210.80222237723763,0.6350467808282281,9
2009-07-01,46821.7,41469.5,186.57,990.4400000000002,246.47106302317349,0.10641481462951545,10
2009-08-01,25981.81818181818,29269.090909090908,141.11818181818185,1194.4818181818182,226.41463154089215,-0.05467983213922523,11
2009-09-01,45750.0,37629.5,183.32,974.54,243.68752403717954,0.18394905903038675,10
2009-10-01,39971.42857142857,35167.5,192.54999999999998,1018.5000000000001,217.25826615654643,0.2805705293501516,14
2009-11-01,32208.3,31732.5,170.44,1268.84,204.032752162083,-0.007224063764733538,10
2009-12-01,40092.2,39214.666666666664,212.70666666666668,708.8399999999999,194.17493824637845,0.008079770104786188,15
2010-01-01,39538.0,37806.5,192.67,1440.5900000000001,213.73580709349253,0.027209043173708314,10
2010-02-01,32083.333333333332,35833.333333333336,189.79999999999998,1701.2333333333333,175.9167640930958,-0.09221616780935488,3
2010-03-01,44247.5625,41587.5,191.60625000000002,1302.4312499999999,235.2186307017403,0.06794099435538246,16
2010-04-01,44055.769230769234,42189.61538461538,206.38461538461536,1197.7,215.80516174582797,0.11729613442210697,26
2010-05-01,44799.0,40269.230769230766,209.7230769230769,2012.1,222.53052227653092,0.16510092997779763,13
