,Period,NoOfProperties,postnumer
3629,201605,2,220.0
3630,201605,1,221.0
3631,201605,1,105.0
3632,201605,1,201.0
3633,201605,1,206.0
3635,201605,1,105.0
3637,201605,1,101.0
3639,201605,1,105.0
3641,201605,1,276.0
3642,201605,11,101.0
3643,201605,2,170.0
3644,201605,1,225.0
3651,201605,1,101.0
3652,201605,212,101.0
3653,201605,4,102.0
3654,201605,4,103.0
3655,201605,35,104.0
3656,201605,165,105.0
3657,201605,42,107.0
3658,201605,35,108.0
3659,201605,23,109.0
3660,201605,12,110.0
3661,201605,8,111.0
3662,201605,9,112.0
3663,201605,6,113.0
3664,201605,3,116.0
3665,201605,2,162.0
3666,201605,7,170.0
3667,201605,35,200.0
3668,201605,5,201.0
3669,201605,6,203.0
3670,201605,3,206.0
3671,201605,1,210.0
3672,201605,36,220.0
3673,201605,3,221.0
3674,201605,4,225.0
3677,201605,8,270.0
3678,201605,6,271.0
3679,201605,2,276.0
3735,201605,1,101.0
3736,201605,1,105.0
3737,201605,1,109.0
3738,201605,1,170.0
3739,201605,1,220.0
3743,201605,1,105.0
3744,201605,1,107.0
3745,201605,2,112.0
3749,201605,2,101.0
3750,201605,1,220.0
3751,201605,52,101.0
3752,201605,6,105.0
3753,201605,6,108.0
3754,201605,3,109.0
3755,201605,1,111.0
3756,201605,1,220.0
3757,201605,1,221.0
3761,201606,1,101.0
3762,201606,74,101.0
3763,201606,2,102.0
3764,201606,1,103.0
3765,201606,8,104.0
3766,201606,27,105.0
3767,201606,8,107.0
3768,201606,2,108.0
3769,201606,2,109.0
3770,201606,2,110.0
3771,201606,5,112.0
3772,201606,3,170.0
3774,201606,5,200.0
3775,201606,5,203.0
3776,201606,2,210.0
3777,201606,2,220.0
3779,201606,2,270.0
3780,201606,1,276.0
3793,201606,458,101.0
3794,201606,12,102.0
3795,201606,3,103.0
3796,201606,26,104.0
3797,201606,184,105.0
3798,201606,59,107.0
3799,201606,20,108.0
3800,201606,11,109.0
3801,201606,12,110.0
3802,201606,4,111.0
3803,201606,6,112.0
3804,201606,4,113.0
3805,201606,1,161.0
3806,201606,2,162.0
3807,201606,6,170.0
3809,201606,26,200.0
3810,201606,3,201.0
3811,201606,5,203.0
3812,201606,1,206.0
3813,201606,3,210.0
3814,201606,11,220.0
3815,201606,3,221.0
3816,201606,1,225.0
3819,201606,6,270.0
3820,201606,3,271.0
3821,201606,1,276.0
3856,201606,341,101.0
3857,201606,5,102.0
3858,201606,6,103.0
3859,201606,31,104.0
3860,201606,139,105.0
3861,201606,56,107.0
3862,201606,25,108.0
3863,201606,8,109.0
3864,201606,16,110.0
3865,201606,6,111.0
3866,201606,18,112.0
3867,201606,7,113.0
3868,201606,1,161.0
3869,201606,1,162.0
3870,201606,5,170.0
3871,201606,21,200.0
3872,201606,7,201.0
3873,201606,10,203.0
3874,201606,1,206.0
3875,201606,9,210.0
3876,201606,19,220.0
3877,201606,7,221.0
3878,201606,3,225.0
3882,201606,8,270.0
3883,201606,7,271.0
3884,201606,8,276.0
3936,201606,113,101.0
3937,201606,7,102.0
3938,201606,1,103.0
3939,201606,23,104.0
3940,201606,65,105.0
3941,201606,34,107.0
3942,201606,26,108.0
3943,201606,4,109.0
3944,201606,13,110.0
3945,201606,3,111.0
3946,201606,13,112.0
3947,201606,2,113.0
3948,201606,1,161.0
3949,201606,1,162.0
3950,201606,4,170.0
3953,201606,18,200.0
3954,201606,6,201.0
3955,201606,9,203.0
3956,201606,9,210.0
3957,201606,10,220.0
3958,201606,6,221.0
3959,201606,3,225.0
3961,201606,3,270.0
3962,201606,2,271.0
3963,201606,10,276.0
4008,201606,26,101.0
4009,201606,5,102.0
4010,201606,12,104.0
4011,201606,19,105.0
4012,201606,6,107.0
4013,201606,11,108.0
4014,201606,2,109.0
4015,201606,8,110.0
4016,201606,2,111.0
4017,201606,9,112.0
4018,201606,4,113.0
4019,201606,2,116.0
4020,201606,1,162.0
4021,201606,8,170.0
4023,201606,2,200.0
4024,201606,5,201.0
4025,201606,2,203.0
4026,201606,3,210.0
4027,201606,4,220.0
4028,201606,2,221.0
4029,201606,3,225.0
4032,201606,6,270.0
4033,201606,4,276.0
4059,201606,7,101.0
4060,201606,2,104.0
4061,201606,1,105.0
4062,201606,4,108.0
4063,201606,1,110.0
4064,201606,1,112.0
4065,201606,1,113.0
4066,201606,1,170.0
4067,201606,3,200.0
4068,201606,2,203.0
4069,201606,2,220.0
4070,201606,1,221.0
4071,201606,1,271.0
4081,201606,3,101.0
4082,201606,2,105.0
4083,201606,1,107.0
4084,201606,1,108.0
4085,201606,2,109.0
4086,201606,1,112.0
4087,201606,1,210.0
4088,201606,1,220.0
4089,201606,1,221.0
4092,201606,1,101.0
4093,201606,1,105.0
4094,201606,1,201.0
4095,201606,1,206.0
4097,201606,1,105.0
4099,201606,1,101.0
4100,201606,1,105.0
4102,201606,1,276.0
4103,201606,11,101.0
4104,201606,3,170.0
4105,201606,1,225.0
4114,201606,1,101.0
4115,201606,245,101.0
4116,201606,3,102.0
4117,201606,4,103.0
4118,201606,48,104.0
4119,201606,202,105.0
4120,201606,45,107.0
4121,201606,42,108.0
4122,201606,23,109.0
4123,201606,10,110.0
4124,201606,12,111.0
4125,201606,14,112.0
4126,201606,7,113.0
4127,201606,2,116.0
4128,201606,2,162.0
4129,201606,8,170.0
4130,201606,37,200.0
4131,201606,2,201.0
4132,201606,8,203.0
4133,201606,3,206.0
4134,201606,1,210.0
4135,201606,37,220.0
4136,201606,6,221.0
4137,201606,2,225.0
4142,201606,10,270.0
4143,201606,3,271.0
4144,201606,3,276.0
4201,201606,3,101.0
4202,201606,1,105.0
4203,201606,1,170.0
4204,201606,1,220.0
4209,201606,1,105.0
4210,201606,1,107.0
4211,201606,3,112.0
4214,201606,2,101.0
4215,201606,1,108.0
4216,201606,1,220.0
4217,201606,48,101.0
4218,201606,5,105.0
4219,201606,7,108.0
4220,201606,3,109.0
4221,201606,2,220.0
4222,201606,2,221.0
4225,201607,72,101.0
4226,201607,2,102.0
4227,201607,1,103.0
4228,201607,5,104.0
4229,201607,30,105.0
4230,201607,8,107.0
4231,201607,3,108.0
4232,201607,1,109.0
4233,201607,2,110.0
4234,201607,5,112.0
4235,201607,1,113.0
4236,201607,2,170.0
4238,201607,4,200.0
4239,201607,6,203.0
4240,201607,1,210.0
4241,201607,2,220.0
4242,201607,1,221.0
4245,201607,1,270.0
4246,201607,1,276.0
4260,201607,483,101.0
4261,201607,13,102.0
4262,201607,1,103.0
4263,201607,30,104.0
4264,201607,193,105.0
4265,201607,61,107.0
4266,201607,25,108.0
4267,201607,11,109.0
4268,201607,11,110.0
4269,201607,5,111.0
4270,201607,8,112.0
4271,201607,4,113.0
4272,201607,1,161.0
4273,201607,2,162.0
4274,201607,6,170.0
4276,201607,28,200.0
4277,201607,3,201.0
4278,201607,5,203.0
4279,201607,1,206.0
4280,201607,4,210.0
4281,201607,9,220.0
4282,201607,4,221.0
4283,201607,1,225.0
4287,201607,4,270.0
4288,201607,4,271.0
4289,201607,2,276.0
4325,201607,356,101.0
4326,201607,6,102.0
4327,201607,4,103.0
4328,201607,31,104.0
4329,201607,153,105.0
4330,201607,61,107.0
4331,201607,24,108.0
4332,201607,8,109.0
4333,201607,19,110.0
4334,201607,6,111.0
4335,201607,16,112.0
4336,201607,10,113.0
4337,201607,1,161.0
4338,201607,1,162.0
4339,201607,4,170.0
4340,201607,27,200.0
4341,201607,6,201.0
4342,201607,9,203.0
4343,201607,1,206.0
4344,201607,10,210.0
4345,201607,19,220.0
4346,201607,9,221.0
4347,201607,2,225.0
4351,201607,10,270.0
4352,201607,7,271.0
4353,201607,7,276.0
4407,201607,118,101.0
4408,201607,6,102.0
4409,201607,1,103.0
4410,201607,20,104.0
4411,201607,76,105.0
4412,201607,40,107.0
4413,201607,29,108.0
4414,201607,5,109.0
4415,201607,12,110.0
4416,201607,4,111.0
4417,201607,17,112.0
4418,201607,3,113.0
4419,201607,1,161.0
4420,201607,1,162.0
4421,201607,3,170.0
4424,201607,20,200.0
4425,201607,5,201.0
4426,201607,7,203.0
4427,201607,12,210.0
4428,201607,11,220.0
4429,201607,5,221.0
4430,201607,3,225.0
4432,201607,4,270.0
4433,201607,2,271.0
4434,201607,11,276.0
4475,201607,33,101.0
4476,201607,6,102.0
4477,201607,1,103.0
4478,201607,13,104.0
4479,201607,22,105.0
4480,201607,5,107.0
4481,201607,10,108.0
4482,201607,1,109.0
4483,201607,8,110.0
4484,201607,2,111.0
4485,201607,9,112.0
4486,201607,5,113.0
4487,201607,2,116.0
4488,201607,1,162.0
4489,201607,5,170.0
4491,201607,4,200.0
4492,201607,4,201.0
4493,201607,2,203.0
4494,201607,5,210.0
4495,201607,5,220.0
4496,201607,3,221.0
4497,201607,2,225.0
4499,201607,5,270.0
4500,201607,1,271.0
4501,201607,6,276.0
4526,201607,10,101.0
4527,201607,2,104.0
4528,201607,2,105.0
4529,201607,4,108.0
4530,201607,2,110.0
4531,201607,2,112.0
4532,201607,1,113.0
4533,201607,2,170.0
4534,201607,3,200.0
4535,201607,2,203.0
4536,201607,2,220.0
4537,201607,1,221.0
4551,201607,3,101.0
4552,201607,1,104.0
4553,201607,2,105.0
4554,201607,1,107.0
4555,201607,2,108.0
4556,201607,2,109.0
4557,201607,1,113.0
4558,201607,1,210.0
4559,201607,2,220.0
4560,201607,1,221.0
4563,201607,1,101.0
4564,201607,1,105.0
4565,201607,1,201.0
4566,201607,1,206.0
4568,201607,1,105.0
4570,201607,1,101.0
4572,201607,1,105.0
4574,201607,11,101.0
4575,201607,3,170.0
4576,201607,1,225.0
4586,201607,1,101.0
4587,201607,244,101.0
4588,201607,3,102.0
4589,201607,3,103.0
4590,201607,49,104.0
4591,201607,202,105.0
4592,201607,46,107.0
4593,201607,41,108.0
4594,201607,21,109.0
4595,201607,14,110.0
4596,201607,12,111.0
4597,201607,10,112.0
4598,201607,9,113.0
4599,201607,3,116.0
4600,201607,2,162.0
4601,201607,4,170.0
4602,201607,38,200.0
4603,201607,2,201.0
4604,201607,9,203.0
4605,201607,3,206.0
4606,201607,1,210.0
4607,201607,35,220.0
4608,201607,10,221.0
4609,201607,3,225.0
4614,201607,10,270.0
4615,201607,6,271.0
4616,201607,3,276.0
4674,201607,3,101.0
4675,201607,1,109.0
4676,201607,1,170.0
4677,201607,1,220.0
4683,201607,1,105.0
4684,201607,1,107.0
4685,201607,2,112.0
4686,201607,1,270.0
4690,201607,2,101.0
4691,201607,1,108.0
4692,201607,1,220.0
4693,201607,44,101.0
4694,201607,5,105.0
4695,201607,7,108.0
4696,201607,3,109.0
4697,201607,1,111.0
4698,201607,3,220.0
4699,201607,2,221.0
4704,201608,71,101.0
4705,201608,2,102.0
4706,201608,2,103.0
4707,201608,6,104.0
4708,201608,28,105.0
4709,201608,8,107.0
4710,201608,4,108.0
4711,201608,2,109.0
4712,201608,2,110.0
4713,201608,4,112.0
4714,201608,3,170.0
4716,201608,4,200.0
4717,201608,6,203.0
4718,201608,3,210.0
4719,201608,2,220.0
4720,201608,2,221.0
4723,201608,1,270.0
4724,201608,1,271.0
4725,201608,1,276.0
4743,201608,489,101.0
4744,201608,12,102.0
4745,201608,3,103.0
4746,201608,33,104.0
4747,201608,187,105.0
4748,201608,58,107.0
4749,201608,27,108.0
4750,201608,13,109.0
4751,201608,10,110.0
4752,201608,5,111.0
4753,201608,6,112.0
4754,201608,4,113.0
4755,201608,1,161.0
4756,201608,2,162.0
4757,201608,7,170.0
4759,201608,33,200.0
4760,201608,4,201.0
4761,201608,5,203.0
4762,201608,1,206.0
4763,201608,2,210.0
4764,201608,11,220.0
4765,201608,6,221.0
4766,201608,1,225.0
4771,201608,5,270.0
4772,201608,4,271.0
4773,201608,2,276.0
4815,201608,354,101.0
4816,201608,7,102.0
4817,201608,6,103.0
4818,201608,29,104.0
4819,201608,145,105.0
4820,201608,52,107.0
4821,201608,21,108.0
4822,201608,8,109.0
4823,201608,18,110.0
4824,201608,4,111.0
4825,201608,18,112.0
4826,201608,9,113.0
4827,201608,1,161.0
4828,201608,1,162.0
4829,201608,7,170.0
4830,201608,24,200.0
4831,201608,4,201.0
4832,201608,10,203.0
4833,201608,6,210.0
4834,201608,20,220.0
4835,201608,8,221.0
4836,201608,2,225.0
4840,201608,6,270.0
4841,201608,7,271.0
4842,201608,10,276.0
4901,201608,107,101.0
4902,201608,5,102.0
4903,201608,1,103.0
4904,201608,16,104.0
4905,201608,64,105.0
4906,201608,30,107.0
4907,201608,24,108.0
4908,201608,5,109.0
4909,201608,11,110.0
4910,201608,4,111.0
4911,201608,13,112.0
4912,201608,2,113.0
4913,201608,1,161.0
4914,201608,1,162.0
4915,201608,2,170.0
4918,201608,18,200.0
4919,201608,8,201.0
4920,201608,8,203.0
4921,201608,9,210.0
4922,201608,11,220.0
4923,201608,5,221.0
4924,201608,2,225.0
4928,201608,4,270.0
4929,201608,3,271.0
4930,201608,12,276.0
4982,201608,27,101.0
4983,201608,7,102.0
4984,201608,11,104.0
4985,201608,22,105.0
4986,201608,4,107.0
4987,201608,11,108.0
4988,201608,1,109.0
4989,201608,8,110.0
4990,201608,3,111.0
4991,201608,8,112.0
4992,201608,4,113.0
4993,201608,2,116.0
4994,201608,1,162.0
4995,201608,6,170.0
4997,201608,1,200.0
4998,201608,7,201.0
4999,201608,1,203.0
5000,201608,3,210.0
5001,201608,4,220.0
5002,201608,3,221.0
5003,201608,2,225.0
5006,201608,6,270.0
5007,201608,1,271.0
5008,201608,4,276.0
5035,201608,9,101.0
5036,201608,3,104.0
5037,201608,2,105.0
5038,201608,4,108.0
5039,201608,2,110.0
5040,201608,2,112.0
5041,201608,1,113.0
5042,201608,1,170.0
5043,201608,2,200.0
5044,201608,3,203.0
5045,201608,1,210.0
5046,201608,1,220.0
5047,201608,1,221.0
5061,201608,2,101.0
5062,201608,1,104.0
5063,201608,1,105.0
5064,201608,1,107.0
5065,201608,1,108.0
5066,201608,1,109.0
5067,201608,1,110.0
5068,201608,1,210.0
5069,201608,2,220.0
5070,201608,1,221.0
5073,201608,1,105.0
5074,201608,1,201.0
5075,201608,1,206.0
5077,201608,1,105.0
5079,201608,1,101.0
5081,201608,1,105.0
5084,201608,12,101.0
5085,201608,3,170.0
5086,201608,1,225.0
5096,201608,1,101.0
5097,201608,252,101.0
5098,201608,6,102.0
5099,201608,3,103.0
5100,201608,49,104.0
5101,201608,206,105.0
5102,201608,48,107.0
5103,201608,40,108.0
5104,201608,21,109.0
5105,201608,13,110.0
5106,201608,11,111.0
5107,201608,12,112.0
5108,201608,10,113.0
5109,201608,3,116.0
5110,201608,2,162.0
5111,201608,3,170.0
5112,201608,33,200.0
5113,201608,2,201.0
5114,201608,9,203.0
5115,201608,3,206.0
5116,201608,2,210.0
5117,201608,38,220.0
5118,201608,10,221.0
5119,201608,2,225.0
5125,201608,6,270.0
5126,201608,4,271.0
5127,201608,3,276.0
5195,201608,3,101.0
5196,201608,1,104.0
5197,201608,1,105.0
5198,201608,1,170.0
5199,201608,1,220.0
5206,201608,1,105.0
5207,201608,1,107.0
5208,201608,2,112.0
5209,201608,1,270.0
5212,201608,2,101.0
5213,201608,1,108.0
5214,201608,1,220.0
5215,201608,36,101.0
5216,201608,7,105.0
5217,201608,7,108.0
5218,201608,3,109.0
5219,201608,1,110.0
5220,201608,1,111.0
5221,201608,4,220.0
5222,201608,2,221.0
5229,201609,67,101.0
5230,201609,1,102.0
5231,201609,1,103.0
5232,201609,7,104.0
5233,201609,23,105.0
5234,201609,6,107.0
5235,201609,2,108.0
5236,201609,2,109.0
5237,201609,2,110.0
5238,201609,2,112.0
5239,201609,3,170.0
5241,201609,4,200.0
5242,201609,4,203.0
5243,201609,1,210.0
5244,201609,2,220.0
5245,201609,1,221.0
5248,201609,1,270.0
5249,201609,1,271.0
5250,201609,1,276.0
5267,201609,463,101.0
5268,201609,10,102.0
5269,201609,4,103.0
5270,201609,27,104.0
5271,201609,171,105.0
5272,201609,55,107.0
5273,201609,22,108.0
5274,201609,10,109.0
5275,201609,11,110.0
5276,201609,6,111.0
5277,201609,10,112.0
5278,201609,6,113.0
5279,201609,1,161.0
5280,201609,2,162.0
5281,201609,7,170.0
5283,201609,26,200.0
5284,201609,4,201.0
5285,201609,5,203.0
5286,201609,1,206.0
5287,201609,3,210.0
5288,201609,11,220.0
5289,201609,5,221.0
5290,201609,3,225.0
5295,201609,4,270.0
5296,201609,4,271.0
5297,201609,1,276.0
5353,201609,307,101.0
5354,201609,5,102.0
5355,201609,4,103.0
5356,201609,25,104.0
5357,201609,125,105.0
5358,201609,48,107.0
5359,201609,19,108.0
5360,201609,6,109.0
5361,201609,17,110.0
5362,201609,4,111.0
5363,201609,13,112.0
5364,201609,4,113.0
5365,201609,1,161.0
5366,201609,1,162.0
5367,201609,5,170.0
5369,201609,19,200.0
5370,201609,4,201.0
5371,201609,8,203.0
5372,201609,6,210.0
5373,201609,16,220.0
5374,201609,8,221.0
5375,201609,4,225.0
5379,201609,5,270.0
5380,201609,9,271.0
5381,201609,9,276.0
5439,201609,97,101.0
5440,201609,6,102.0
5441,201609,1,103.0
5442,201609,9,104.0
5443,201609,52,105.0
5444,201609,17,107.0
5445,201609,15,108.0
5446,201609,5,109.0
5447,201609,8,110.0
5448,201609,2,111.0
5449,201609,9,112.0
5450,201609,2,113.0
5451,201609,1,161.0
5452,201609,1,162.0
5453,201609,2,170.0
5456,201609,14,200.0
5457,201609,3,201.0
5458,201609,5,203.0
5459,201609,7,210.0
5460,201609,8,220.0
5461,201609,1,221.0
5462,201609,1,225.0
5466,201609,3,270.0
5467,201609,3,271.0
5468,201609,11,276.0
5523,201609,21,101.0
5524,201609,6,102.0
5525,201609,9,104.0
5526,201609,20,105.0
5527,201609,3,107.0
5528,201609,8,108.0
5529,201609,1,109.0
5530,201609,5,110.0
5531,201609,1,111.0
5532,201609,5,112.0
5533,201609,3,113.0
5534,201609,2,116.0
5535,201609,1,170.0
5537,201609,1,200.0
5538,201609,8,201.0
5539,201609,1,210.0
5540,201609,3,220.0
5541,201609,4,221.0
5542,201609,2,225.0
5544,201609,6,270.0
5545,201609,1,271.0
5546,201609,5,276.0
5575,201609,10,101.0
5576,201609,3,104.0
5577,201609,1,105.0
5578,201609,1,107.0
5579,201609,5,108.0
5580,201609,1,112.0
5581,201609,2,200.0
5582,201609,1,203.0
5583,201609,2,210.0
5584,201609,1,220.0
5585,201609,1,221.0
5586,201609,1,270.0
5587,201609,1,276.0
5600,201609,3,101.0
5601,201609,1,105.0
5602,201609,1,107.0
5603,201609,1,109.0
5604,201609,1,210.0
5605,201609,2,220.0
5606,201609,1,221.0
5610,201609,1,105.0
5611,201609,1,201.0
5612,201609,1,206.0
5614,201609,1,105.0
5616,201609,1,101.0
5618,201609,1,105.0
5620,201609,1,276.0
5622,201609,13,101.0
5623,201609,4,170.0
5630,201609,1,170.0
5631,201609,1,170.0
5632,201609,1,101.0
5633,201609,1,220.0
5635,201609,245,101.0
5636,201609,5,102.0
5637,201609,4,103.0
5638,201609,45,104.0
5639,201609,186,105.0
5640,201609,46,107.0
5641,201609,40,108.0
5642,201609,21,109.0
5643,201609,12,110.0
5644,201609,9,111.0
5645,201609,14,112.0
5646,201609,10,113.0
5647,201609,3,116.0
5648,201609,3,162.0
5649,201609,7,170.0
5650,201609,30,200.0
5651,201609,4,201.0
5652,201609,6,203.0
5653,201609,3,206.0
5654,201609,2,210.0
5655,201609,37,220.0
5656,201609,11,221.0
5657,201609,4,225.0
5663,201609,9,270.0
5664,201609,8,271.0
5665,201609,2,276.0
5734,201609,3,101.0
5735,201609,1,104.0
5736,201609,2,105.0
5737,201609,1,170.0
5738,201609,1,220.0
5747,201609,1,105.0
5748,201609,1,107.0
5749,201609,2,112.0
5750,201609,1,270.0
5754,201609,2,101.0
5755,201609,1,220.0
5756,201609,47,101.0
5757,201609,8,105.0
5758,201609,7,108.0
5759,201609,3,109.0
5760,201609,2,110.0
5761,201609,1,111.0
5762,201609,1,200.0
5763,201609,1,201.0
5764,201609,4,220.0
5765,201609,2,221.0
5772,201610,66,101.0
5773,201610,1,102.0
5774,201610,9,104.0
5775,201610,25,105.0
5776,201610,7,107.0
5777,201610,2,108.0
5778,201610,1,109.0
5779,201610,3,110.0
5780,201610,1,111.0
5781,201610,2,112.0
5782,201610,3,170.0
5784,201610,3,200.0
5785,201610,4,203.0
5786,201610,4,210.0
5787,201610,2,220.0
5788,201610,2,221.0
5791,201610,2,270.0
5792,201610,1,271.0
5793,201610,1,276.0
5820,201610,458,101.0
5821,201610,7,102.0
5822,201610,3,103.0
5823,201610,28,104.0
5824,201610,155,105.0
5825,201610,50,107.0
5826,201610,21,108.0
5827,201610,9,109.0
5828,201610,10,110.0
5829,201610,7,111.0
5830,201610,6,112.0
5831,201610,5,113.0
5832,201610,1,161.0
5833,201610,2,162.0
5834,201610,8,170.0
5836,201610,30,200.0
5837,201610,6,201.0
5838,201610,6,203.0
5839,201610,1,206.0
5840,201610,7,210.0
5841,201610,14,220.0
5842,201610,5,221.0
5843,201610,3,225.0
5850,201610,6,270.0
5851,201610,3,271.0
5852,201610,3,276.0
5914,201610,302,101.0
5915,201610,3,102.0
5916,201610,5,103.0
5917,201610,21,104.0
5918,201610,124,105.0
5919,201610,39,107.0
5920,201610,20,108.0
5921,201610,6,109.0
5922,201610,17,110.0
5923,201610,3,111.0
5924,201610,16,112.0
5925,201610,5,113.0
5926,201610,1,161.0
5927,201610,1,162.0
5928,201610,7,170.0
5930,201610,26,200.0
5931,201610,8,201.0
5932,201610,9,203.0
5933,201610,9,210.0
5934,201610,20,220.0
5935,201610,10,221.0
5936,201610,3,225.0
5941,201610,5,270.0
5942,201610,9,271.0
5943,201610,8,276.0
6008,201610,92,101.0
6009,201610,5,102.0
6010,201610,2,103.0
6011,201610,9,104.0
6012,201610,49,105.0
6013,201610,19,107.0
6014,201610,12,108.0
6015,201610,3,109.0
6016,201610,8,110.0
6017,201610,2,111.0
6018,201610,5,112.0
6019,201610,2,113.0
6020,201610,1,161.0
6021,201610,1,162.0
6022,201610,4,170.0
6025,201610,21,200.0
6026,201610,5,201.0
6027,201610,4,203.0
6028,201610,8,210.0
6029,201610,10,220.0
6030,201610,5,221.0
6031,201610,1,225.0
6035,201610,4,270.0
6036,201610,3,271.0
6037,201610,11,276.0
6102,201610,21,101.0
6103,201610,6,102.0
6104,201610,9,104.0
6105,201610,18,105.0
6106,201610,3,107.0
6107,201610,6,108.0
6108,201610,2,109.0
6109,201610,6,110.0
6110,201610,4,112.0
6111,201610,2,113.0
6112,201610,2,170.0
6114,201610,8,201.0
6115,201610,2,210.0
6116,201610,2,220.0
6117,201610,7,221.0
6118,201610,3,225.0
6121,201610,3,270.0
6122,201610,1,271.0
6123,201610,6,276.0
6165,201610,10,101.0
6166,201610,2,104.0
6167,201610,2,105.0
6168,201610,1,107.0
6169,201610,3,108.0
6170,201610,1,109.0
6171,201610,1,110.0
6172,201610,2,112.0
6173,201610,1,170.0
6174,201610,2,200.0
6175,201610,1,203.0
6176,201610,2,210.0
6177,201610,1,221.0
6178,201610,1,270.0
6201,201610,3,101.0
6202,201610,1,105.0
6203,201610,1,109.0
6204,201610,1,210.0
6205,201610,2,220.0
6206,201610,1,221.0
6214,201610,1,105.0
6215,201610,1,201.0
6216,201610,1,206.0
6221,201610,1,105.0
6224,201610,1,101.0
6226,201610,1,105.0
6229,201610,1,276.0
6231,201610,14,101.0
6232,201610,1,110.0
6233,201610,4,170.0
6234,201610,1,225.0
6244,201610,1,170.0
6246,201610,1,170.0
6247,201610,1,101.0
6248,201610,1,220.0
6249,201610,248,101.0
6250,201610,3,102.0
6251,201610,3,103.0
6252,201610,38,104.0
6253,201610,176,105.0
6254,201610,42,107.0
6255,201610,49,108.0
6256,201610,21,109.0
6257,201610,11,110.0
6258,201610,11,111.0
6259,201610,16,112.0
6260,201610,7,113.0
6261,201610,1,116.0
6262,201610,3,162.0
6263,201610,6,170.0
6264,201610,32,200.0
6265,201610,8,201.0
6266,201610,7,203.0
6267,201610,4,206.0
6268,201610,6,210.0
6269,201610,48,220.0
6270,201610,12,221.0
6271,201610,5,225.0
6280,201610,8,270.0
6281,201610,10,271.0
6282,201610,2,276.0
6355,201610,3,101.0
6356,201610,1,104.0
6357,201610,2,105.0
6358,201610,1,170.0
6359,201610,1,203.0
6360,201610,2,220.0
6378,201610,1,105.0
6379,201610,1,107.0
6380,201610,2,112.0
6381,201610,1,270.0
6385,201610,2,101.0
6388,201610,1,220.0
6393,201610,47,101.0
6394,201610,1,104.0
6395,201610,9,105.0
6396,201610,8,108.0
6397,201610,1,109.0
6398,201610,2,110.0
6399,201610,1,111.0
6400,201610,1,200.0
6401,201610,3,220.0
6402,201610,1,221.0
6419,201611,70,101.0
6420,201611,9,104.0
6421,201611,26,105.0
6422,201611,8,107.0
6423,201611,3,108.0
6424,201611,1,109.0
6425,201611,3,110.0
6426,201611,1,111.0
6427,201611,2,112.0
6428,201611,4,170.0
6430,201611,3,200.0
6431,201611,4,203.0
6432,201611,2,210.0
6433,201611,2,220.0
6434,201611,1,221.0
6437,201611,2,270.0
6438,201611,1,271.0
6439,201611,1,276.0
6465,201611,451,101.0
6466,201611,5,102.0
6467,201611,3,103.0
6468,201611,25,104.0
6469,201611,163,105.0
6470,201611,44,107.0
6471,201611,20,108.0
6472,201611,11,109.0
6473,201611,9,110.0
6474,201611,7,111.0
6475,201611,6,112.0
6476,201611,4,113.0
6477,201611,1,161.0
6478,201611,2,162.0
6479,201611,7,170.0
6481,201611,28,200.0
6482,201611,5,201.0
6483,201611,4,203.0
6484,201611,1,206.0
6485,201611,9,210.0
6486,201611,13,220.0
6487,201611,3,221.0
6488,201611,3,225.0
6495,201611,7,270.0
6496,201611,2,271.0
6497,201611,3,276.0
6559,201611,288,101.0
6560,201611,4,102.0
6561,201611,5,103.0
6562,201611,22,104.0
6563,201611,122,105.0
6564,201611,46,107.0
6565,201611,16,108.0
6566,201611,9,109.0
6567,201611,14,110.0
6568,201611,5,111.0
6569,201611,12,112.0
6570,201611,5,113.0
6571,201611,1,161.0
6572,201611,1,162.0
6573,201611,7,170.0
6575,201611,25,200.0
6576,201611,2,201.0
6577,201611,10,203.0
6578,201611,7,210.0
6579,201611,22,220.0
6580,201611,11,221.0
6581,201611,4,225.0
6586,201611,6,270.0
6587,201611,8,271.0
6588,201611,7,276.0
6648,201611,87,101.0
6649,201611,5,102.0
6650,201611,2,103.0
6651,201611,12,104.0
6652,201611,47,105.0
6653,201611,12,107.0
6654,201611,13,108.0
6655,201611,2,109.0
6656,201611,10,110.0
6657,201611,3,111.0
6658,201611,7,112.0
6659,201611,1,113.0
6660,201611,1,161.0
6661,201611,1,162.0
6662,201611,9,170.0
6665,201611,15,200.0
6666,201611,5,201.0
6667,201611,7,203.0
6668,201611,9,210.0
6669,201611,9,220.0
6670,201611,6,221.0
6671,201611,1,225.0
6675,201611,3,270.0
6676,201611,3,271.0
6677,201611,11,276.0
6744,201611,22,101.0
6745,201611,5,102.0
6746,201611,8,104.0
6747,201611,19,105.0
6748,201611,5,107.0
6749,201611,5,108.0
6750,201611,1,109.0
6751,201611,5,110.0
6752,201611,1,111.0
6753,201611,2,112.0
6754,201611,2,113.0
6756,201611,5,200.0
6757,201611,7,201.0
6758,201611,1,203.0
6759,201611,4,210.0
6760,201611,4,220.0
6761,201611,9,221.0
6762,201611,2,225.0
6765,201611,4,270.0
6766,201611,1,271.0
6767,201611,6,276.0
6808,201611,10,101.0
6809,201611,2,104.0
6810,201611,2,105.0
6811,201611,1,107.0
6812,201611,1,108.0
6813,201611,1,109.0
6814,201611,1,112.0
6815,201611,1,170.0
6816,201611,3,200.0
6817,201611,2,203.0
