date,Reykjavík,Kópavogur,Garðabær,Hafnarfjörður,Mosfellsbær,"Eigendur, skuldlaust",Eigendur m. lán,"Leigjendur, alls",overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%
2006-01-01,0.4265360796047596,0.42263880506940255,0.46622193985599325,0.3855453818117166,0.3512909979064899,18.0,64.8,17.2,12.5,4.15,0.5,-0.2591792656587488
2006-02-01,0.4266889537858305,0.42237500516163595,0.4683740183296933,0.3871344785395383,0.3522633331439258,17.675,65.14999999999999,17.175,12.5,4.15,2.0,-0.2591792656587488
2006-03-01,0.42684182796690134,0.42211120525386936,0.4705260968033933,0.38872357526736,0.3532356683813618,17.35,65.5,17.15,12.5,4.15,1.7,1.1693373754872116
2006-04-01,0.4269947021479722,0.42184740534610277,0.4726781752770933,0.3903126719951817,0.3542080036187977,17.025,65.85,17.125,12.5,4.3,1.2,1.0702054794520466
2006-05-01,0.4271475763290431,0.4215836054383362,0.4748302537507933,0.3919017687230034,0.3551803388562336,16.7,66.2,17.099999999999998,13.0,4.6,-0.2,1.4824227022448122
2006-06-01,0.427300450510114,0.4213198055305696,0.4769823322244933,0.3934908654508251,0.3561526740936696,16.375,66.55,17.075,14.0,4.6,0.6,1.001669449081799
2006-07-01,0.42745332469118485,0.421056005622803,0.47913441069819335,0.3950799621786468,0.35712500933110547,16.05,66.9,17.049999999999997,14.0,4.6,-1.7,0.4132231404958775
2006-08-01,0.4276061988722557,0.4207922057150364,0.4812864891718934,0.39666905890646853,0.3580973445685414,15.725,67.25,17.025,14.5,4.85,2.4,0.288065843621399
2006-09-01,0.4277590730533266,0.4205284058072698,0.4834385676455934,0.39825815563429023,0.35906967980597737,15.4,67.6,17.0,15.0,4.85,0.7,0.6155108740254489
2006-10-01,0.4279119472343975,0.4202646058995032,0.48559064611929337,0.39984725236211194,0.3600420150434133,15.075,67.95,16.974999999999998,15.5,4.85,-2.2,0.1631321370310079
2006-11-01,0.42806482141546837,0.4200008059917366,0.4877427245929934,0.40143634908993364,0.36101435028084927,14.75,68.3,16.95,15.5,4.85,0.8,-0.244299674267101
2006-12-01,0.4282176955965392,0.41973700608397,0.4898948030666934,0.40302544581775535,0.36198668551828517,14.425,68.65,16.924999999999997,15.5,4.85,-0.7,0.0
2007-01-01,0.4283705697776101,0.41947320617620343,0.49204688154039344,0.40461454254557705,0.3629590207557211,14.1,69.0,16.9,16.0,4.85,2.3,0.1224489795918382
2007-02-01,0.42813003122508975,0.4187822952062662,0.4920584693022297,0.4037393705027485,0.36374881264586933,14.041666666666666,68.89166666666667,17.066666666666666,16.0,4.95,0.3,0.0
2007-03-01,0.42788949267256937,0.418091384236329,0.4920700570640659,0.40286419845991994,0.3645386045360176,13.983333333333333,68.78333333333333,17.23333333333333,16.0,4.95,2.4,-0.8560945780676787
2007-04-01,0.427648954120049,0.4174004732663918,0.49208164482590216,0.4019890264170914,0.3653283964261658,13.925,68.675,17.4,16.0,4.95,0.7,0.2055921052631637
2007-05-01,0.42740841556752857,0.41670956229645456,0.4920932325877384,0.40111385437426283,0.3661181883163141,13.866666666666667,68.56666666666666,17.566666666666666,16.0,4.95,3.6,0.8206811653672652
2007-06-01,0.4271678770150082,0.4160186513265174,0.49210482034957465,0.4002386823314343,0.3669079802064623,13.808333333333334,68.45833333333333,17.73333333333333,16.0,4.95,0.5,0.2035002035001953
2007-07-01,0.4269273384624878,0.41532774035658016,0.4921164081114109,0.3993635102886057,0.3676977720966106,13.75,68.35,17.9,16.0,4.95,1.4,-0.1218521527213578
2007-08-01,0.42668679990996744,0.4146368293866429,0.4921279958732472,0.39848833824577723,0.3684875639867588,13.691666666666666,68.24166666666667,18.066666666666666,16.0,5.0,0.8,-0.3660024400162665
2007-09-01,0.42644626135744707,0.41394591841670575,0.4921395836350834,0.3976131662029487,0.369277355876907,13.633333333333333,68.13333333333334,18.23333333333333,16.0,5.4,0.8,1.1428571428571566
2007-10-01,0.42620572280492663,0.4132550074467685,0.49215117139691966,0.3967379941601201,0.3700671477670553,13.575,68.025,18.4,16.0,5.4,2.8,0.363196125907983
2007-11-01,0.42596518425240626,0.4125640964768313,0.4921627591587559,0.39586282211729157,0.3708569396572035,13.516666666666667,67.91666666666667,18.566666666666666,16.0,5.75,-1.5,0.4020908725371974
2007-12-01,0.4257246456998859,0.4118731855068941,0.49217434692059214,0.394987650074463,0.3716467315473518,13.458333333333334,67.80833333333334,18.73333333333333,16.5,6.3,0.1,0.680816980376453
2008-01-01,0.4254841071473655,0.4111822745369569,0.4921859346824284,0.39411247803163446,0.3724365234375,13.4,67.7,18.9,16.5,6.3,1.5,-0.1591089896579189
2008-02-01,0.42536187589302893,0.41001300617360004,0.4907211899485625,0.39309762452706404,0.371815871027197,13.558333333333334,67.39166666666667,19.058333333333334,16.5,6.3,-0.9,1.553784860557772
2008-03-01,0.42523964463869235,0.4088437378102432,0.48925644521469663,0.39208277102249356,0.37119521861689403,13.716666666666667,67.08333333333334,19.216666666666665,16.5,6.3,-0.4,1.4907806983130545
2008-04-01,0.42511741338435577,0.40767446944688635,0.48779170048083076,0.39106791751792314,0.370574566206591,13.875,66.775,19.375,16.5,6.3,-1.7,4.2133745651333765
2008-05-01,0.4249951821300192,0.4065052010835295,0.4863269557469649,0.3900530640133527,0.36995391379628806,14.033333333333333,66.46666666666667,19.53333333333333,18.5,6.3,0.5,1.4836795252225476
