,date,fjöldi_kaupsamninga,auglyst_serbyli,auglyst_fjolbyli,solutimi,Verðtryggð lán,erlend_lan,Óverðtryggð lán,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%,Reykjavík,Kópavogur,Garðabær,Hafnarfjörður,Mosfellsbær,"Eigendur, skuldlaust",Eigendur m. lán,"Leigjendur, alls"
0,2006-04-01,598.4,0.48,2.05,6.21,87.42,7.19,4.07,12.5,4.3,1.2,1.0702054794520466,0.4269947021479722,0.4218474053461027,0.4726781752770933,0.3903126719951817,0.3542080036187977,17.025,65.85,17.125
1,2006-05-01,617.0,0.48,2.05,6.21,87.31,7.36,4.01,13.0,4.6,-0.2,1.4824227022448122,0.4271475763290431,0.4215836054383362,0.4748302537507933,0.3919017687230034,0.3551803388562336,16.7,66.2,17.099999999999998
2,2006-06-01,472.74,0.48,2.05,6.21,87.2,7.53,3.95,14.0,4.6,0.6,1.001669449081799,0.427300450510114,0.4213198055305696,0.4769823322244933,0.3934908654508251,0.3561526740936696,16.375,66.55,17.075
3,2006-07-01,436.96,0.48,2.05,6.21,87.09,7.7,3.89,14.0,4.6,-1.7,0.4132231404958775,0.4274533246911848,0.421056005622803,0.4791344106981933,0.3950799621786468,0.3571250093311054,16.05,66.9,17.049999999999997
4,2006-08-01,406.92,0.48,2.05,6.21,86.98,7.870000000000001,3.83,14.5,4.85,2.4,0.288065843621399,0.4276061988722557,0.4207922057150364,0.4812864891718934,0.3966690589064685,0.3580973445685414,15.725,67.25,17.025
5,2006-09-01,354.73,0.49,2.06,7.19,86.87,8.040000000000001,3.77,15.0,4.85,0.7,0.6155108740254489,0.4277590730533266,0.4205284058072698,0.4834385676455934,0.3982581556342902,0.3590696798059773,15.4,67.6,17.0
6,2006-10-01,410.12,0.49,2.05,6.21,86.76,8.21,3.71,15.5,4.85,-2.2,0.1631321370310079,0.4279119472343975,0.4202646058995032,0.4855906461192933,0.3998472523621119,0.3600420150434133,15.075,67.95,16.974999999999998
7,2006-11-01,535.38,0.5,1.92,4.53,86.65,8.38,3.65,15.5,4.85,0.8,-0.244299674267101,0.4280648214154683,0.4200008059917366,0.4877427245929934,0.4014363490899336,0.3610143502808492,14.75,68.3,16.95
8,2006-12-01,648.89,0.49,1.71,3.4,86.54,8.55,3.59,15.5,4.85,-0.7,0.0,0.4282176955965392,0.41973700608397,0.4898948030666934,0.4030254458177553,0.3619866855182851,14.425,68.65,16.924999999999997
9,2007-01-01,688.75,0.49,1.58,3.01,86.43,8.72,3.53,16.0,4.85,2.3,0.1224489795918382,0.4283705697776101,0.4194732061762034,0.4920468815403934,0.404614542545577,0.3629590207557211,14.1,69.0,16.9
